Feature,Requirement/oracle,Risks,Checks/tests,Execution status,Bugs,Residual risk
FEAT-CORE-001,REQ-CORE-001,RISK-002; RISK-003; RISK-017; RISK-018,TC-GEN-001,"BLOCKED, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-CORE-002,REQ-CORE-002,RISK-003; RISK-018,"TC-CORE-001, TC-CORE-002",PASS,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-CORE-003,Context/code oracle,RISK-003; RISK-011; RISK-018,TC-CORE-003,PASS,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-CORE-004,Context/code oracle,RISK-003; RISK-012; RISK-018,"TC-HINT-001, TC-HINT-002, TC-HINT-003","BLOCKED, NOT_RUN",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-CORE-005,REQ-UI-001,RISK-003; RISK-010; RISK-018,TC-CORE-UNDO,FAIL,BUG-001,Open gaps in NOT_RUN/BLOCKED tests
FEAT-CORE-006,REQ-CORE-003,RISK-003; RISK-006; RISK-007; RISK-018,TC-WIN-001,"NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-UI-001,Context/code oracle,RISK-001; RISK-003; RISK-018; RISK-024; RISK-028,TC-UI-001..004,"NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-UI-002,Context/code oracle,RISK-003; RISK-013; RISK-018; RISK-026,TC-UI-STAT-001,NOT_RUN,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-INPUT-001,Context/code oracle,RISK-003; RISK-008; RISK-018,"TC-INPUT-001, TC-INPUT-002, TC-INPUT-003, TC-INPUT-004","BLOCKED, NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-STATE-001,REQ-STATE-001,RISK-003; RISK-009; RISK-018; RISK-027,"TC-STATE-001, TC-STATE-002, TC-STATE-003, TC-STATE-004","BLOCKED, NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-SAVE-001,REQ-SAVE-001,RISK-003; RISK-004; RISK-005; RISK-018,"TC-SAVE-001, TC-SAVE-002, TC-SAVE-003, TC-SAVE-004, TC-SAVE-005","NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-SAVE-002,Context/code oracle,RISK-003; RISK-004; RISK-018; RISK-020; RISK-023; RISK-029,TC-CLOUD-001..004,BLOCKED,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-SET-001,Context/code oracle,RISK-003; RISK-018,TC-SET-001..004,"NOT_RUN, PASS",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-AUDIO-001,Context/code oracle,RISK-003; RISK-018; RISK-021,"TC-AUDIO-001, TC-AUDIO-002, TC-AUDIO-003","BLOCKED, NOT_RUN",None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-LOC-001,REQ-LOC-001,RISK-003; RISK-018; RISK-022,"TC-LOC-001, TC-LOC-002, TC-LOC-003",NOT_RUN,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-PLAT-001,REQ-PLAT-001,RISK-003; RISK-018; RISK-019; RISK-030,"TC-PLAT-001, TC-PLAT-002, TC-PLAT-003, TC-PLAT-004",BLOCKED,None,Open gaps in NOT_RUN/BLOCKED tests
FEAT-ACC-001,REQ-ACC-001,RISK-003; RISK-015; RISK-016; RISK-018,TC-ACC-001..006,FAIL,BUG-002,Open gaps in NOT_RUN/BLOCKED tests
FEAT-COMPAT-001,Context/code oracle,RISK-003; RISK-014; RISK-018,"TC-COMPAT-001, TC-COMPAT-002, TC-COMPAT-003",PASS,None,Open gaps in NOT_RUN/BLOCKED tests
